uid_adresse;cle_interop;commune_insee;commune_nom;commune_deleguee_insee;commune_deleguee_nom;voie_nom;lieudit_complement_nom;numero;suffixe;position;x;y;long;lat;cad_parcelles;source;date_der_maj;certification_commune
;54084_0120_00047;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;47;;entrée;905683.42;6917874.92;5.829394;49.327282;;inconnue;;0
;54084_0120_00048;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;48;;;905679.06;6917866.75;5.82933;49.32721;;arcep;;0
;54084_0120_00049;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;49;;entrée;905660.99;6917867.44;5.829082;49.327222;;inconnue;;0
;54084_0120_00050;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;50;;entrée;905652.51;6917864.46;5.828964;49.327198;;inconnue;;0
;54084_0120_00051;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;51;;entrée;905639.87;6917860;5.828788;49.327162;;inconnue;;0
;54084_0120_00052;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;52;;entrée;905629.89;6917856.19;5.828649;49.327131;;inconnue;;0
;54084_0270_00001;54084;Mont-Bonvillers;;;Rue de la République;;1;;segment;906088.22;6917814.98;5.834928;49.326613;;inconnue;;0
;54084_0270_00002;54084;Mont-Bonvillers;;;Rue de la République;;2;;entrée;906076.37;6917814.66;5.834765;49.326614;;inconnue;;0
;54084_0270_00003;54084;Mont-Bonvillers;;;Rue de la République;;3;;segment;906088.22;6917814.98;5.834928;49.326613;;inconnue;;0
;54084_0270_00004;54084;Mont-Bonvillers;;;Rue de la République;;4;;entrée;906073.51;6917821.24;5.834729;49.326674;;inconnue;;0
;54084_0270_00005;54084;Mont-Bonvillers;;;Rue de la République;;5;;entrée;906053.88;6917879.53;5.834488;49.327204;;inconnue;;0
;54084_0270_00006;54084;Mont-Bonvillers;;;Rue de la République;;6;;segment;906061.98;6917844.65;5.834582;49.326888;;inconnue;;0
;54084_0270_00007;54084;Mont-Bonvillers;;;Rue de la République;;7;;entrée;906045.47;6917895.04;5.83438;49.327346;;inconnue;;0
;54084_0270_00008;54084;Mont-Bonvillers;;;Rue de la République;;8;;entrée;906018.91;6917923.36;5.834029;49.327609;;inconnue;;0
;54084_0270_00009;54084;Mont-Bonvillers;;;Rue de la République;;9;;entrée;906033.92;6917914.88;5.834231;49.327528;;inconnue;;0
;54084_0270_00011;54084;Mont-Bonvillers;;;Rue de la République;;11;;segment;906002.31;6917974.41;5.833826;49.328073;;inconnue;;0
;54084_0270_00012;54084;Mont-Bonvillers;;;Rue de la République;;12;;entrée;906010.27;6917939.19;5.833918;49.327754;;inconnue;;0
;54084_0270_00013;54084;Mont-Bonvillers;;;Rue de la République;;13;;segment;906002.31;6917974.41;5.833826;49.328073;;inconnue;;0
;54084_0270_00014;54084;Mont-Bonvillers;;;Rue de la République;;14;;entrée;905987.41;6917951.73;5.83361;49.327874;;inconnue;;0
;54084_0270_00015;54084;Mont-Bonvillers;;;Rue de la République;;15;;segment;906002.31;6917974.41;5.833826;49.328073;;inconnue;;0
;54084_0270_00016;54084;Mont-Bonvillers;;;Rue de la République;;16;;entrée;905982.01;6917990.72;5.833555;49.328226;;inconnue;;0
;54084_0270_00017;54084;Mont-Bonvillers;;;Rue de la République;;17;;segment;906002.31;6917974.41;5.833826;49.328073;;inconnue;;0
;54084_0270_00018;54084;Mont-Bonvillers;;;Rue de la République;;18;;entrée;905965.28;6918020.95;5.83334;49.328503;;inconnue;;0
;54084_0270_00019;54084;Mont-Bonvillers;;;Rue de la République;;19;;entrée;905980.02;6918013.69;5.833539;49.328433;;inconnue;;0
;54084_0270_00020;54084;Mont-Bonvillers;;;Rue de la République;;20;;entrée;905956.52;6918036;5.833227;49.328641;;inconnue;;0
;54084_0270_00021;54084;Mont-Bonvillers;;;Rue de la République;;21;;entrée;905963.33;6918046.93;5.833326;49.328737;;inconnue;;0
;54084_0270_00022;54084;Mont-Bonvillers;;;Rue de la République;;22;;entrée;905953.23;6918042.45;5.833185;49.3287;;inconnue;;0
;54084_0270_00023;54084;Mont-Bonvillers;;;Rue de la République;;23;;entrée;905958.43;6918055.88;5.833263;49.328819;;inconnue;;0
;54084_0270_00006_a;54084;Mont-Bonvillers;;;Rue de la République;;6;a;segment;906061.97;6917844.76;5.834582;49.326889;;inconnue;;0
;54084_0270_00019_bis;54084;Mont-Bonvillers;;;Rue de la République;;19;bis;entrée;905980.02;6918013.69;5.833539;49.328433;;inconnue;;0
;54084_0270_00017_bis;54084;Mont-Bonvillers;;;Rue de la République;;17;bis;entrée;906023.3;6918028.04;5.834141;49.328548;;inconnue;;0
;54084_0270_00006_b;54084;Mont-Bonvillers;;;Rue de la République;;6;b;segment;906061.97;6917844.76;5.834582;49.326889;;inconnue;;0
;54084_0270_00009_bis;54084;Mont-Bonvillers;;;Rue de la République;;9;bis;segment;906027.81;6917926.91;5.834153;49.327638;;inconnue;;0
;54084_0270_00005_bis;54084;Mont-Bonvillers;;;Rue de la République;;5;bis;segment;906057.58;6917871.76;5.834535;49.327133;;inconnue;;0
;54084_0270_00019_ter;54084;Mont-Bonvillers;;;Rue de la République;;19;ter;segment;906057.58;6917871.76;5.834535;49.327133;;inconnue;;0
;54084_0040_00001;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;1;;entrée;905877.02;6918055.74;5.832144;49.328844;;inconnue;;0
;54084_0040_00002;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;2;;entrée;905699.32;6917955.2;5.829652;49.327998;;inconnue;;0
;54084_0040_00003;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;3;;entrée;905869.17;6918051.34;5.832034;49.328807;;inconnue;;0
;54084_0040_00004;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;4;;entrée;905675.31;6917946.99;5.829318;49.327932;;inconnue;;0
;54084_0040_00005;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;5;;entrée;905848.39;6918036.46;5.831741;49.32868;;inconnue;;0
;54084_0040_00006;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;6;;entrée;905660.21;6917941.99;5.829108;49.327892;;inconnue;;0
;54084_0040_00007;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;7;;entrée;905839.97;6918029.92;5.831622;49.328624;;inconnue;;0
;54084_0040_00008;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;8;;entrée;905640.01;6917935.04;5.828827;49.327836;;inconnue;;0
;54084_0040_00009;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;9;;entrée;905783.28;6917991.49;5.830824;49.328297;;inconnue;;0
;54084_0040_00010;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;10;;entrée;905629.17;6917931.2;5.828676;49.327805;;inconnue;;0
;54084_0040_00011;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;11;;entrée;905751.38;6917980.44;5.83038;49.328208;;inconnue;;0
;54084_0040_00012;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;12;;entrée;905605.52;6917923;5.828347;49.327739;;inconnue;;0
;54084_0040_00013;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;13;;entrée;905718.97;6917969.15;5.829929;49.328117;;inconnue;;0
;54084_0040_00014;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;14;;segment;905581.41;6917877.17;5.827993;49.327335;;inconnue;;0
;54084_0040_00015;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;15;;entrée;905686.91;6917958.2;5.829483;49.328029;;inconnue;;0
;54084_0040_00016;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;16;;entrée;905530.27;6917897.15;5.8273;49.327531;;inconnue;;0
;54084_0040_00017;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;17;;entrée;905662.18;6917949.86;5.829139;49.327962;;inconnue;;0
;54084_0040_00018;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;18;;segment;905577.64;6917913.43;5.827959;49.327662;;inconnue;;0
;54084_0040_00019;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;19;;entrée;905632.67;6917938.89;5.828728;49.327873;;inconnue;;0
;54084_0040_00021;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;21;;entrée;905618.92;6917934.95;5.828537;49.327842;;inconnue;;0
;54084_0040_00023;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;23;;entrée;905603.32;6917929.71;5.82832;49.3278;;inconnue;;0
;54084_0040_00025;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;25;;entrée;905586;6917923.75;5.828079;49.327752;;inconnue;;0
;54084_0040_00027;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;27;;segment;905570.4;6917920.52;5.827863;49.327728;;inconnue;;0
;54084_0040_00002_bis;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;2;bis;entrée;905871.96;6918044.54;5.832069;49.328745;;inconnue;;0
;54084_0040_00003_bis;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;3;bis;entrée;905842.97;6918023.24;5.83166;49.328563;;inconnue;;0
;54084_0040_00001_bis;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;1;bis;entrée;905905.17;6918076.01;5.832541;49.329017;;inconnue;;0
;54084_0040_00004_bis;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;4;bis;entrée;905827.2;6918012.55;5.831438;49.328472;;inconnue;;0
;54084_0040_00016_bis;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;16;bis;segment;905577.64;6917913.43;5.827959;49.327662;;inconnue;;0
;54084_0040_00014_bis;54084;Mont-Bonvillers;;;Rue Baron d’Huart;;14;bis;entrée;905586.93;6917863.23;5.828062;49.327208;;inconnue;;0
;54084_0210_00001;54084;Mont-Bonvillers;;;Rue Nationale;;1;;entrée;905957.73;6918119.87;5.833285;49.329394;;inconnue;;0
;54084_0210_00002;54084;Mont-Bonvillers;;;Rue Nationale;;2;;entrée;905919.9;6918125.74;5.832768;49.329459;;inconnue;;0
;54084_0210_00003;54084;Mont-Bonvillers;;;Rue Nationale;;3;;entrée;905910.83;6918141.45;5.832651;49.329603;;inconnue;;0
;54084_0210_00004;54084;Mont-Bonvillers;;;Rue Nationale;;4;;entrée;905907.51;6918148.9;5.832609;49.329671;;inconnue;;0
;54084_0210_00005;54084;Mont-Bonvillers;;;Rue Nationale;;5;;entrée;905899.48;6918163.75;5.832506;49.329807;;inconnue;;0
;54084_0210_00006;54084;Mont-Bonvillers;;;Rue Nationale;;6;;entrée;905897.68;6918167.25;5.832483;49.329839;;inconnue;;0
;54084_0210_00007;54084;Mont-Bonvillers;;;Rue Nationale;;7;;entrée;905892.47;6918176.52;5.832416;49.329924;;inconnue;;0
;54084_0210_00008;54084;Mont-Bonvillers;;;Rue Nationale;;8;;entrée;905890.27;6918181.01;5.832388;49.329965;;inconnue;;0
;54084_0210_00009;54084;Mont-Bonvillers;;;Rue Nationale;;9;;entrée;905882.28;6918194.86;5.832285;49.330092;;inconnue;;0
;54084_0210_00011;54084;Mont-Bonvillers;;;Rue Nationale;;11;;entrée;905878.98;6918201.75;5.832243;49.330155;;inconnue;;0
;54084_0210_00012;54084;Mont-Bonvillers;;;Rue Nationale;;12;;entrée;905874.83;6918207.95;5.832189;49.330212;;inconnue;;0
;54084_0210_00013;54084;Mont-Bonvillers;;;Rue Nationale;;13;;entrée;905871.98;6918214.41;5.832153;49.330271;;inconnue;;0
;54084_0210_00014;54084;Mont-Bonvillers;;;Rue Nationale;;14;;segment;905805.94;6918333.38;5.831304;49.331361;;inconnue;;0
;54084_0210_00015;54084;Mont-Bonvillers;;;Rue Nationale;;15;;entrée;905860.68;6918233.16;5.832007;49.330443;;inconnue;;0
;54084_0210_00017;54084;Mont-Bonvillers;;;Rue Nationale;;17;;segment;905857.68;6918237.95;5.831968;49.330487;;inconnue;;0
;54084_0210_00019;54084;Mont-Bonvillers;;;Rue Nationale;;19;;entrée;905847.5;6918258.06;5.831838;49.330671;;inconnue;;0
;54084_0210_00021;54084;Mont-Bonvillers;;;Rue Nationale;;21;;entrée;905844.71;6918264.86;5.831803;49.330733;;inconnue;;0
;54084_0210_00022;54084;Mont-Bonvillers;;;Rue Nationale;;22;;entrée;905840.7;6918270.95;5.831751;49.330789;;inconnue;;0
;54084_0210_00023;54084;Mont-Bonvillers;;;Rue Nationale;;23;;entrée;905838.01;6918277.2;5.831717;49.330846;;inconnue;;0
;54084_0210_00024;54084;Mont-Bonvillers;;;Rue Nationale;;24;;entrée;905835.42;6918282.23;5.831684;49.330892;;inconnue;;0
;54084_0210_00025;54084;Mont-Bonvillers;;;Rue Nationale;;25;;entrée;905827.7;6918296.65;5.831585;49.331024;;inconnue;;0
;54084_0210_00027;54084;Mont-Bonvillers;;;Rue Nationale;;27;;entrée;905825.37;6918302.8;5.831556;49.33108;;inconnue;;0
;54084_0210_00028;54084;Mont-Bonvillers;;;Rue Nationale;;28;;entrée;905822.72;6918307.93;5.831522;49.331127;;inconnue;;0
;54084_0210_00029;54084;Mont-Bonvillers;;;Rue Nationale;;29;;entrée;905818.5;6918316.02;5.831468;49.331201;;inconnue;;0
;54084_0210_00030;54084;Mont-Bonvillers;;;Rue Nationale;;30;;entrée;905816.23;6918320.39;5.831439;49.331241;;inconnue;;0
;54084_0210_00031;54084;Mont-Bonvillers;;;Rue Nationale;;31;;entrée;905812.17;6918328.15;5.831387;49.331312;;inconnue;;0
;54084_0210_00032;54084;Mont-Bonvillers;;;Rue Nationale;;32;;entrée;905809.37;6918333.28;5.831351;49.331359;;inconnue;;0
;54084_0210_00033;54084;Mont-Bonvillers;;;Rue Nationale;;33;;entrée;905816;6918344.99;5.831448;49.331462;;inconnue;;0
;54084_0210_00034;54084;Mont-Bonvillers;;;Rue Nationale;;34;;entrée;905795.87;6918336.25;5.831167;49.33139;;inconnue;;0
;54084_0210_00035;54084;Mont-Bonvillers;;;Rue Nationale;;35;;entrée;905849.19;6918235.19;5.83185;49.330465;;inconnue;;0
;54084_0210_00036;54084;Mont-Bonvillers;;;Rue Nationale;;36;;;905843.64;6918227.76;5.83177;49.3304;;arcep;;0
;54084_0210_00037;54084;Mont-Bonvillers;;;Rue Nationale;;37;;entrée;905855.97;6918222.74;5.831937;49.330351;;inconnue;;0
;54084_0210_00038;54084;Mont-Bonvillers;;;Rue Nationale;;38;;;905851.46;6918212.45;5.83187;49.33026;;arcep;;0
;54084_0210_00039;54084;Mont-Bonvillers;;;Rue Nationale;;39;;entrée;905865.23;6918205.93;5.832056;49.330197;;inconnue;;0
;54084_0210_00040;54084;Mont-Bonvillers;;;Rue Nationale;;40;;entrée;905867.88;6918200.91;5.83209;49.330151;;inconnue;;0
;54084_0210_00041;54084;Mont-Bonvillers;;;Rue Nationale;;41;;segment;905870.5;6918192.76;5.832122;49.330077;;inconnue;;0
;54084_0210_00042;54084;Mont-Bonvillers;;;Rue Nationale;;42;;entrée;905875.9;6918186.17;5.832193;49.330016;;inconnue;;0
;54084_0210_00043;54084;Mont-Bonvillers;;;Rue Nationale;;43;;entrée;905881.43;6918176.01;5.832264;49.329923;;inconnue;;0
;54084_0210_00044;54084;Mont-Bonvillers;;;Rue Nationale;;44;;entrée;905883.98;6918171.88;5.832297;49.329885;;inconnue;;0
;54084_0210_00045;54084;Mont-Bonvillers;;;Rue Nationale;;45;;entrée;905889;6918161.7;5.832361;49.329792;;inconnue;;0
;54084_0210_00046;54084;Mont-Bonvillers;;;Rue Nationale;;46;;entrée;905891.69;6918157.68;5.832396;49.329755;;inconnue;;0
;54084_0210_00047;54084;Mont-Bonvillers;;;Rue Nationale;;47;;entrée;905897.02;6918147.19;5.832464;49.329659;;inconnue;;0
;54084_0210_00048;54084;Mont-Bonvillers;;;Rue Nationale;;48;;entrée;905899.43;6918142.71;5.832495;49.329618;;inconnue;;0
;54084_0210_00049;54084;Mont-Bonvillers;;;Rue Nationale;;49;;entrée;905903.5;6918134.95;5.832547;49.329547;;inconnue;;0
;54084_0210_00050;54084;Mont-Bonvillers;;;Rue Nationale;;50;;entrée;905907.29;6918128.52;5.832596;49.329488;;inconnue;;0
;54084_0210_00035_ter;54084;Mont-Bonvillers;;;Rue Nationale;;35;ter;segment;905835.39;6918260.97;5.831673;49.330701;;inconnue;;0
;54084_0210_00032_bis;54084;Mont-Bonvillers;;;Rue Nationale;;32;bis;segment;905807.5;6918330.54;5.831324;49.331335;;inconnue;;0
;54084_0210_00033_bis;54084;Mont-Bonvillers;;;Rue Nationale;;33;bis;entrée;905752.42;6918340.92;5.830572;49.331446;;inconnue;;0
;54084_0210_00031_bis;54084;Mont-Bonvillers;;;Rue Nationale;;31;bis;segment;905826.39;6918296.71;5.831567;49.331025;;inconnue;;0
;54084_0210_00035_bis;54084;Mont-Bonvillers;;;Rue Nationale;;35;bis;entrée;905798.16;6918244.05;5.831153;49.330561;;inconnue;;0
;54084_0210_00034_bis;54084;Mont-Bonvillers;;;Rue Nationale;;34;bis;entrée;905603.49;6918205.01;5.828458;49.330273;;inconnue;;0
;54084_0020_00001;54084;Mont-Bonvillers;;;Allee des Acacias;;1;;entrée;906094.38;6917651.45;5.834932;49.325142;;inconnue;;0
;54084_0020_00002;54084;Mont-Bonvillers;;;Allee des Acacias;;2;;entrée;906105.21;6917675.99;5.835093;49.325359;;inconnue;;0
;54084_0020_00003;54084;Mont-Bonvillers;;;Allee des Acacias;;3;;entrée;906091.67;6917631.65;5.834885;49.324965;;inconnue;;0
;54084_0020_00004;54084;Mont-Bonvillers;;;Allee des Acacias;;4;;entrée;906089.02;6917652.7;5.834859;49.325155;;inconnue;;0
;54084_0020_00005;54084;Mont-Bonvillers;;;Allee des Acacias;;5;;entrée;906072.53;6917609.48;5.834611;49.324772;;inconnue;;0
;54084_0020_00006;54084;Mont-Bonvillers;;;Allee des Acacias;;6;;entrée;906069.67;6917630.52;5.834582;49.324962;;inconnue;;0
;54084_0020_00007;54084;Mont-Bonvillers;;;Allee des Acacias;;7;;entrée;906088.48;6917576.65;5.834814;49.324472;;inconnue;;0
;54084_0020_00008;54084;Mont-Bonvillers;;;Allee des Acacias;;8;;entrée;906029.99;6917608.95;5.834026;49.324781;;inconnue;;0
;54084_0020_00009;54084;Mont-Bonvillers;;;Allee des Acacias;;9;;entrée;906090.68;6917564.15;5.834838;49.324359;;inconnue;;0
;54084_0020_00010;54084;Mont-Bonvillers;;;Allee des Acacias;;10;;entrée;906021.68;6917619.45;5.833917;49.324878;;inconnue;;0
;54084_0020_00011;54084;Mont-Bonvillers;;;Allee des Acacias;;11;;entrée;906079.21;6917561.18;5.834679;49.324336;;inconnue;;0
;54084_0020_00012;54084;Mont-Bonvillers;;;Allee des Acacias;;12;;entrée;906014.87;6917616.53;5.833822;49.324854;;inconnue;;0
;54084_0020_00013;54084;Mont-Bonvillers;;;Allee des Acacias;;13;;entrée;906076.98;6917572.68;5.834654;49.32444;;inconnue;;0
;54084_0020_00014;54084;Mont-Bonvillers;;;Allee des Acacias;;14;;entrée;906011.03;6917581.55;5.833752;49.324541;;inconnue;;0
;54084_0020_00015;54084;Mont-Bonvillers;;;Allee des Acacias;;15;;entrée;906019.97;6917559.72;5.833864;49.324342;;inconnue;;0
;54084_0020_00016;54084;Mont-Bonvillers;;;Allee des Acacias;;16;;entrée;905979.89;6917585.67;5.833326;49.324588;;inconnue;;0
;54084_0020_00017;54084;Mont-Bonvillers;;;Allee des Acacias;;17;;segment;905990.35;6917578.14;5.833466;49.324517;;inconnue;;0
;54084_0020_00018;54084;Mont-Bonvillers;;;Allee des Acacias;;18;;entrée;905958.99;6917588.15;5.83304;49.324617;;inconnue;;0
;54084_0020_00019;54084;Mont-Bonvillers;;;Allee des Acacias;;19;;entrée;905993;6917552.85;5.83349;49.324289;;inconnue;;0
;54084_0020_00020;54084;Mont-Bonvillers;;;Allee des Acacias;;20;;entrée;905943.19;6917588.47;5.832823;49.324625;;inconnue;;0
;54084_0020_00021;54084;Mont-Bonvillers;;;Allee des Acacias;;21;;entrée;905958;6917555.05;5.83301;49.32432;;inconnue;;0
;54084_0020_00022;54084;Mont-Bonvillers;;;Allee des Acacias;;22;;entrée;905944.49;6917572.49;5.832833;49.324481;;inconnue;;0
;54084_0020_00023;54084;Mont-Bonvillers;;;Allee des Acacias;;23;;entrée;905994.77;6917507.72;5.833492;49.323883;;inconnue;;0
;54084_0020_00024;54084;Mont-Bonvillers;;;Allee des Acacias;;24;;segment;905955.07;6917541.25;5.832963;49.324197;;inconnue;;0
;54084_0020_00025;54084;Mont-Bonvillers;;;Allee des Acacias;;25;;entrée;905998.49;6917487.15;5.833533;49.323697;;inconnue;;0
;54084_0020_00026;54084;Mont-Bonvillers;;;Allee des Acacias;;26;;entrée;905965.22;6917526.03;5.833095;49.324057;;inconnue;;0
;54084_0020_00027;54084;Mont-Bonvillers;;;Allee des Acacias;;27;;entrée;906011.31;6917460.45;5.833696;49.323453;;inconnue;;0
;54084_0020_00028;54084;Mont-Bonvillers;;;Allee des Acacias;;28;;entrée;905978.27;6917497;5.83326;49.323792;;inconnue;;0
;54084_0020_00029;54084;Mont-Bonvillers;;;Allee des Acacias;;29;;entrée;906033.99;6917426.65;5.833991;49.323142;;inconnue;;0
;54084_0020_00030;54084;Mont-Bonvillers;;;Allee des Acacias;;30;;entrée;905990.52;6917471.95;5.833416;49.323563;;inconnue;;0
;54084_0020_00031;54084;Mont-Bonvillers;;;Allee des Acacias;;31;;entrée;906056.39;6917457.17;5.834314;49.323409;;inconnue;;0
;54084_0020_00032;54084;Mont-Bonvillers;;;Allee des Acacias;;32;;entrée;906004.99;6917439.74;5.833599;49.323269;;inconnue;;0
;54084_0020_00033;54084;Mont-Bonvillers;;;Allee des Acacias;;33;;entrée;906041.21;6917488.91;5.834121;49.323699;;inconnue;;0
;54084_0020_00034;54084;Mont-Bonvillers;;;Allee des Acacias;;34;;entrée;906017.03;6917412.46;5.833751;49.32302;;inconnue;;0
;54084_0020_00035;54084;Mont-Bonvillers;;;Allee des Acacias;;35;;segment;906044;6917510.49;5.83417;49.323892;;inconnue;;0
;54084_0020_00036;54084;Mont-Bonvillers;;;Allee des Acacias;;36;;entrée;906027.28;6917414.72;5.833893;49.323037;;inconnue;;0
;54084_0020_00037;54084;Mont-Bonvillers;;;Allee des Acacias;;37;;entrée;906005.97;6917521.93;5.833653;49.324007;;inconnue;;0
;54084_0020_00038;54084;Mont-Bonvillers;;;Allee des Acacias;;38;;entrée;906047.68;6917442.5;5.834187;49.32328;;inconnue;;0
;54084_0020_00039;54084;Mont-Bonvillers;;;Allee des Acacias;;39;;entrée;905948.4;6917633.85;5.832917;49.325031;;inconnue;;0
;54084_0020_00040;54084;Mont-Bonvillers;;;Allee des Acacias;;40;;entrée;906069.47;6917474;5.834502;49.323556;;inconnue;;0
;54084_0020_00041;54084;Mont-Bonvillers;;;Allee des Acacias;;41;;entrée;905950.7;6917650.85;5.832957;49.325183;;inconnue;;0
;54084_0020_00042;54084;Mont-Bonvillers;;;Allee des Acacias;;42;;entrée;906086.29;6917487.74;5.83474;49.323674;;inconnue;;0
;54084_0020_00043;54084;Mont-Bonvillers;;;Allee des Acacias;;43;;entrée;905961.39;6917663.15;5.83311;49.32529;;inconnue;;0
;54084_0020_00044;54084;Mont-Bonvillers;;;Allee des Acacias;;44;;entrée;906069.92;6917499.74;5.834521;49.323787;;inconnue;;0
;54084_0020_00045;54084;Mont-Bonvillers;;;Allee des Acacias;;45;;entrée;905979.97;6917674.5;5.833371;49.325386;;inconnue;;0
;54084_0020_00046;54084;Mont-Bonvillers;;;Allee des Acacias;;46;;entrée;906047.89;6917515.53;5.834226;49.323936;;inconnue;;0
;54084_0020_00047;54084;Mont-Bonvillers;;;Allee des Acacias;;47;;entrée;905957.53;6917655.22;5.833053;49.32522;;inconnue;;0
